aX,aY,aZ,gX,gY,gZ
0.949,-0.162,0.186,-29.602,10.254,7.446
0.933,-0.178,0.262,-33.752,14.832,10.681
0.978,-0.176,0.270,-37.720,17.029,13.367
1.029,-0.245,0.295,-30.762,19.104,19.531
1.071,-0.352,0.274,-21.729,19.348,24.780
1.112,-0.458,0.245,-12.817,18.250,27.039
1.176,-0.562,0.207,-6.653,17.212,27.649
1.211,-0.648,0.205,-4.028,16.357,26.306
1.224,-0.700,0.238,-3.113,16.846,23.621
1.228,-0.737,0.269,-0.854,20.264,19.165
1.218,-0.791,0.270,4.944,28.625,13.184
1.229,-0.891,0.232,12.817,40.100,7.324
1.241,-0.990,0.121,20.752,52.490,2.747
1.251,-1.129,-0.004,27.222,65.857,2.319
1.282,-1.267,-0.120,29.907,77.515,4.089
1.302,-1.385,-0.266,25.513,89.233,5.005
1.257,-1.233,-0.171,8.545,97.290,7.080
1.195,-1.146,-0.153,-1.282,99.792,13.733
1.184,-1.125,-0.016,-8.057,102.173,24.475
1.174,-1.095,0.021,-16.174,95.459,35.889
1.168,-1.062,0.099,-21.423,80.627,46.082
1.201,-1.000,0.052,-17.944,57.373,57.373
1.212,-0.886,0.009,-16.113,34.607,71.716
1.170,-0.839,-0.089,-19.470,8.484,86.121
1.056,-0.760,-0.165,-25.513,-14.465,91.614
0.875,-0.591,-0.261,-29.053,-25.757,86.792
0.705,-0.408,-0.353,-33.203,-22.339,77.087
0.589,-0.229,-0.396,-40.039,-6.348,66.406
0.507,-0.029,-0.425,-47.729,14.526,56.824
0.423,0.199,-0.438,-55.969,30.945,50.903
0.342,0.473,-0.437,-65.613,39.612,49.316
0.291,0.743,-0.437,-71.716,43.396,52.063
0.297,1.059,-0.404,-70.007,41.992,56.824
0.400,1.333,-0.395,-57.434,36.682,60.486
0.456,1.609,-0.300,-38.330,32.715,61.829
0.266,1.492,0.031,-25.513,23.254,64.087
0.376,1.885,-0.433,-27.466,-7.446,57.373
0.350,1.911,-0.284,-31.677,-3.845,82.275
0.323,1.823,-0.111,-35.339,8.850,115.295
0.485,1.847,-0.140,-52.368,0.854,136.658
0.653,1.832,-0.100,-76.233,-13.855,144.409
0.882,1.716,0.085,-96.619,-24.719,141.296
1.116,1.682,0.242,-101.807,-47.119,126.099
1.240,1.640,0.432,-96.985,-76.050,103.455
1.258,1.609,0.564,-89.722,-107.422,75.073
1.201,1.591,0.657,-77.393,-129.761,44.189
1.158,1.549,0.780,-54.260,-135.071,14.648
1.083,1.520,0.800,-21.729,-132.446,-10.803
0.914,1.451,0.735,12.268,-126.526,-30.640
0.708,1.343,0.539,45.166,-115.173,-43.335
0.516,1.215,0.327,70.007,-94.177,-48.523
0.403,1.083,0.162,82.520,-59.692,-48.767
0.366,1.012,0.048,84.656,-18.433,-47.791
0.377,0.994,0.008,79.224,21.790,-46.143
0.454,0.990,0.095,70.618,53.650,-44.006
0.523,1.062,0.219,65.857,67.322,-42.297
0.553,1.208,0.221,70.618,55.359,-44.067
0.574,1.333,0.228,75.134,39.001,-47.668
0.603,1.400,0.221,84.534,22.034,-51.636
0.574,1.394,0.186,94.849,6.714,-50.537
0.491,1.376,0.106,102.844,-6.165,-46.692
0.406,1.367,-0.018,106.750,-14.465,-41.138
0.385,1.246,-0.163,109.985,-10.803,-33.081
0.390,1.049,-0.133,116.150,11.902,-23.865
0.504,0.790,-0.086,117.004,39.490,-23.010
0.707,0.654,-0.191,110.046,56.335,-29.785
0.734,0.637,0.055,99.792,65.247,-41.077
0.782,0.601,-0.211,81.116,38.269,-46.997
0.864,0.507,-0.245,65.918,23.499,-49.988
0.885,0.429,-0.210,58.777,25.574,-59.143
0.806,0.495,-0.235,44.617,21.973,-67.078
0.759,0.493,-0.177,27.283,13.916,-63.049
0.834,0.303,-0.063,20.996,12.390,-47.180
0.890,0.052,0.001,26.001,13.245,-31.738
0.887,-0.105,-0.019,33.081,13.489,-27.100
0.903,-0.216,-0.102,39.612,17.029,-33.203
0.927,-0.337,-0.213,41.077,27.100,-43.762
0.943,-0.462,-0.300,33.325,40.222,-52.551
0.977,-0.581,-0.329,16.907,51.941,-57.739
0.995,-0.615,-0.307,-2.625,60.547,-59.814
0.999,-0.602,-0.214,-19.165,64.026,-58.777
1.013,-0.603,-0.070,-28.381,58.533,-56.824
0.997,-0.521,-0.009,-31.189,42.175,-55.908
0.968,-0.463,0.025,-29.968,26.245,-50.964
0.960,-0.484,0.017,-23.987,12.390,-39.185
0.969,-0.541,0.014,-17.456,2.075,-25.208
0.987,-0.641,-0.018,-12.756,-1.343,-12.756
0.992,-0.688,-0.067,-11.414,0.244,-6.714
1.019,-0.746,-0.070,-13.306,6.531,-9.094
1.099,-0.744,-0.048,-20.935,11.414,-18.311
1.118,-0.682,-0.052,-31.921,8.667,-29.907
1.097,-0.627,-0.074,-41.748,1.648,-38.879
1.059,-0.529,-0.060,-49.011,-3.357,-46.753
0.989,-0.363,-0.051,-52.307,-6.104,-49.194
0.959,-0.298,0.005,-49.622,-7.874,-40.649
0.992,-0.305,0.052,-41.809,-9.155,-25.635
1.027,-0.302,0.069,-31.921,-11.230,-12.268
1.040,-0.284,0.052,-20.691,-14.282,-5.798
1.050,-0.321,0.030,-9.155,-15.503,-4.517
1.060,-0.388,-0.003,-1.221,-15.198,-5.859
1.071,-0.445,-0.062,0.244,-14.282,-8.667
1.066,-0.431,-0.118,-4.150,-10.376,-14.771
1.098,-0.402,-0.113,-9.888,-5.432,-20.264
1.171,-0.353,-0.015,-16.602,-6.531,-23.071
1.222,-0.281,0.017,-22.095,-19.653,-23.437
1.155,-0.123,0.010,-24.536,-37.659,-22.888
1.115,-0.057,0.098,-22.339,-50.293,-18.677
1.126,-0.064,0.123,-17.334,-57.373,-11.292
1.078,-0.061,0.125,-9.949,-57.434,-4.517
1.040,-0.055,0.104,-1.648,-49.255,-0.610
1.053,-0.077,0.102,6.897,-35.828,2.625
1.082,-0.086,0.095,12.268,-23.743,4.578
1.138,-0.094,0.116,13.245,-15.137,4.089
1.175,-0.088,0.124,11.841,-12.756,0.000
1.137,-0.056,0.067,8.179,-15.686,-5.676
1.116,-0.053,0.083,2.991,-14.587,-10.376
1.105,-0.033,0.106,-3.174,-14.038,-14.343
1.056,0.049,0.116,-8.484,-14.893,-17.456

1.021,-0.118,0.121,0.183,12.573,17.700
0.978,-0.021,-0.050,-4.089,13.428,11.414
